burst_behavior,burst_index,cv,freq_variance,kurtosis,modalirity_burst,name,nu,pause_index,pause_ratio,skewness,temp,x,y
0.0,0.0,0.713773073747,98.2978723404,2.83793038443,0.0,Cell#037,0.832733812292,8.85714285714,25.0106044539,0.819405655937,40.0,189.5,71.8
0.0,0.0,0.881087716296,95.8126721763,3.12119194766,0.0,Cell#038,1.12875952871,1.0,1.0,1.06593105717,40.0,192.4,129.2
0.0,0.0,0.813386474236,98.8583290088,1.65092785082,0.0,Cell#043,0.948875109154,9.5,75.3015873016,0.412200757541,40.0,206.7,68.9
0.0,0.0,1.09773094048,99.6059411943,4.40500855216,0.0,Cell#044,1.28841067027,19.0,158.203539823,1.50941532832,40.0,212.5,91.9
0.0,0.0,1.16510626372,96.0396039604,9.26883686831,0.0,Cell#073,1.29843747218,1.0,1.0,2.65458967535,40.0,315.8,86.1
0.0,0.0,1.40358832977,99.5424504321,11.8819014782,0.0,Cell#075,1.25839259307,26.0,154.042372881,2.99877829195,40.0,321.6,109.1
0.0,0.0,1.92509057478,99.2925005054,8.81508615629,0.0,Cell#134,1.97821208612,13.0,79.8296296296,2.6752215493,40.0,559.9,68.9
0.0,0.0,2.95001538185,99.2362525458,23.5004929564,0.0,Cell#144,1.3163655705,24.0,82.3103448276,4.81009619422,40.0,594.3,34.5
0.0,0.0,1.07897339475,99.4453688297,2.57481436229,0.0,Cell#004,1.25780350329,14.0,146.304166667,0.940170325767,32.0,31.3,59.2
0.0,0.0,0.735511518676,99.9755441428,2.68530963396,0.0526315789474,Cell#005,0.890938031222,19.0,183.502487562,0.682056661689,32.0,34.8,97.5
0.0,0.0,0.637980171693,94.1121055111,1.97283230675,0.0,Cell#007,0.767785962704,1.0,1.0,0.257914233101,32.0,45.3,17.4
0.0,0.0,0.790141778886,97.9674796748,4.01842630661,0.0,Cell#018,0.925921616022,1.0,1.0,1.21237755021,32.0,97.5,20.9
0.0,0.0,0.59527948688,87.9115090861,2.05834090617,0.0,Cell#023,0.665148998089,1.0,1.0,0.415204126617,32.0,114.9,83.6
0.0,0.0,1.01595098612,98.6812072026,5.33705757875,0.0,Cell#027,1.3483341704,1.0,1.0,1.70563720096,32.0,128.8,24.4
0.0,0.0,0.787689326107,99.72,5.03914819192,0.0188679245283,Cell#030,0.973070992398,12.5,51.6272727273,1.33421036364,32.0,139.3,10.4
0.0,0.0,1.0751895864,97.8440150801,4.3429561793,0.0,Cell#033,1.29931855306,1.0,1.0,1.69037753641,32.0,156.7,20.9
0.0,0.0,0.702686828247,97.1627099016,2.3501993525,0.0,Cell#035,0.857095904551,1.0,1.0,0.655289955377,32.0,170.6,59.2
0.0,0.0,1.38651856818,99.1050808314,5.2441726392,0.0,Cell#036,1.54285083017,1.0,1.0,1.95858813638,32.0,174.1,83.6
0.0,0.0,0.86398159079,96.2571756602,3.01547662641,0.0,Cell#037,1.02670708592,1.0,1.0,0.939786399913,32.0,174.1,7.0
0.0,0.0,0.93511758013,98.2717595492,6.10475885974,0.0,Cell#039,1.31075647844,1.0,1.0,1.87554934503,32.0,188.0,59.2
0.0,0.0,0.680309414693,95.789180145,2.23482316647,0.0,Cell#042,0.862595676672,1.0,1.0,0.362758452562,32.0,201.9,52.2
0.0,0.0,0.641871704178,99.2990654206,3.61913815671,0.0,Cell#043,0.862268783432,22.5,99.2242562929,0.86045849916,32.0,205.4,7.0
0.0,0.0,0.748731661777,99.4716449454,3.20804437356,0.0,Cell#044,0.944101423228,37.0,199.041860465,0.929380118065,32.0,208.9,104.4
0.0,0.0,0.859840477793,96.5250379363,3.84671898193,0.0,Cell#046,1.16617316672,1.0,1.0,1.33192642005,32.0,226.3,76.6
0.0,0.0,1.08588778515,97.4683544304,10.8150114389,0.0,Cell#047,1.43900678332,1.0,1.0,2.93869750817,32.0,229.8,13.9
0.0,0.0,0.821492600623,98.9987864078,17.1789546968,0.0,Cell#051,0.981168443628,58.0,199.669527897,3.10448967001,32.0,240.2,76.6
0.0,0.0,1.00408393252,98.9217448129,7.29107003189,0.0,Cell#054,1.18083035056,1.0,1.0,1.94152000806,32.0,254.2,7.0
0.0,0.0,0.937525335792,96.5712812581,6.75209986765,0.0,Cell#056,0.917799317116,1.0,1.0,1.95708347224,32.0,268.1,52.2
0.0,0.0,1.11052314447,98.4083424808,3.32169539975,0.0,Cell#057,0.902625300908,1.0,1.0,1.34736238581,32.0,278.5,80.1
0.0,0.0,0.91778211135,97.1572272031,8.21334787535,0.0,Cell#058,1.0425709653,1.0,1.0,2.14725843249,32.0,282.0,62.7
0.0,0.0,1.07986775707,98.32,3.09472501938,0.0,Cell#059,1.20863540867,1.0,1.0,1.24378947011,32.0,285.5,38.3
0.0,0.0,0.680198268286,95.5314648334,3.2150568846,0.0,Cell#060,0.854319351031,1.0,1.0,0.867069052961,32.0,292.5,90.5
0.0,0.0,0.851368973458,99.0465631929,7.11893023731,0.0,Cell#063,1.10154144978,30.0,163.164609053,1.79869358258,32.0,302.9,7.0
0.0,0.0,1.12083971598,99.2715046231,11.2157371613,0.0,Cell#064,1.32748483295,1.0,1.0,2.81331697496,32.0,306.4,41.8
0.0,0.0,0.717568669084,98.7348444913,4.52136290579,0.0,Cell#065,0.895414318839,20.6666666667,68.2997076023,1.21308702556,32.0,313.3,34.8
0.0,0.0,0.712179874733,94.4538629208,3.51467702578,0.0,Cell#067,0.920572752621,1.0,1.0,0.950296080985,32.0,327.3,27.9
0.0,0.0,0.780522017979,97.0733561384,3.40670781703,0.0,Cell#068,0.856366922199,1.0,1.0,1.10364518467,32.0,337.7,31.3
0.0,0.0,0.828085923859,97.3245754566,3.37734225804,0.0,Cell#069,1.11429633309,1.0,1.0,0.902443076335,32.0,337.7,104.4
0.0,0.0,0.771149541371,95.7148274554,6.98499394408,0.0,Cell#072,0.863874062286,1.0,1.0,1.88591711999,32.0,355.1,24.4
0.0,0.0,0.624025206548,95.2907801418,1.67470766365,0.0,Cell#073,0.715400154013,1.0,1.0,0.225519840519,32.0,365.6,48.7
